id;task;percent;duration;predecessor;type;;;
1;Assinar Anexo Projeto;50;3;;;;;
2;Ambiente da OnFly (de DEV/HML);100;2;1;SS;;;
3;Envolti: Instalar API ambiente EBS (DEV);25;4;1;SS;;;
4;Envolti: Rever API e Testar;0;1;3;FS;;;
5;OnFly: Liberar Tathia como ADM no Portal;0;1;1;FS;;;
6;OnFly: Treinamento para AP;0;1;5;FS;;;
7;AP: Iniciar Testes com os dados enviados;0;3;6;FS;;;
8;Aprovação DEV;0;0;7;FS;;;
9;Envolti: Solicitar instalaçâo da API em QSA;0;5;8;FS;;;
10;OnFly: Liberar ambiente HML com API v3;0;4;9;FS;;;
11;AP: Refazer Testes com os dados enviados;0;3;10;FS;;;
12;Aprovação HML;0;0;11;FS;;;
13;Envolti: Preparar documentação para GMUD;0;1;12;FS;;;
14;Envolti: Solicitar instalação da API em PRD;0;5;13;FS;;;
15;Digital: Liberação da API em PRD;0;1;14;FS;;;
16;AP: Treinamento das Áreas;0;2;15;FS;;;
17;Acompanhamento OnFly, Envolti e Digital;0;15;16;FS;;;
18;Encerramento Fase 1;0;0;17;;;;
