id;task;percent;duration;predecessor;type
1;Levantamento de Requisitos;100;3;;
2;Analise de Viabilidade;100;2;1;FS
3;Definicao de Escopo;100;2;2;FS
4;Elaboracao do Cronograma;80;1;3;FS
5;Design de Interface;60;4;3;FS
6;Prototipacao;40;3;5;FS
7;Validacao do Prototipo;20;2;6;FS
8;Desenvolvimento Backend;10;8;4;FS
9;Desenvolvimento Frontend;0;7;7;SS
10;Integracao de APIs;0;4;8;FS
11;Testes Unitarios;0;3;9;FS
12;Testes de Integracao;0;3;10;SS
13;Correcao de Bugs;0;4;11;FS
14;Revisao de Codigo;0;2;13;SS
15;Documentacao Tecnica;0;3;12;FS
16;Preparacao de Ambiente;0;2;15;FS
17;Deploy em Homologacao;0;1;16;FS
18;Testes de Aceitacao;0;3;17;FS
19;Ajustes Finais;0;2;18;FS
20;Deploy em Producao;0;1;19;FS
